y_block,x_block,dist,timestamp,trem_id,carro_id
0,0,1810.966268,2025-05-31 4:30:00,1,1
0,1,1803.186583,2025-05-31 4:30:00,1,1
0,2,1441.96863,2025-05-31 4:30:00,1,1
0,3,1472.284466,2025-05-31 4:30:00,1,1
0,4,1764.994214,2025-05-31 4:30:00,1,1
0,5,1788.103424,2025-05-31 4:30:00,1,1
0,6,1782.97334,2025-05-31 4:30:00,1,1
0,7,1786.850704,2025-05-31 4:30:00,1,1
0,8,1561.92591,2025-05-31 4:30:00,1,1
0,9,1462.96587,2025-05-31 4:30:00,1,1
0,10,1651.805654,2025-05-31 4:30:00,1,1
0,11,1778.750483,2025-05-31 4:30:00,1,1
0,12,1805.871745,2025-05-31 4:30:00,1,1
0,13,1809.390366,2025-05-31 4:30:00,1,1
0,14,1661.524151,2025-05-31 4:30:00,1,1
0,15,1497.359828,2025-05-31 4:30:00,1,1
0,16,1600.047917,2025-05-31 4:30:00,1,1
0,17,1758.183205,2025-05-31 4:30:00,1,1
0,18,1823.926745,2025-05-31 4:30:00,1,1
0,19,1754.136005,2025-05-31 4:30:00,1,1
0,20,1730.206214,2025-05-31 4:30:00,1,1
0,21,1439.23282,2025-05-31 4:30:00,1,1
0,22,1517.561724,2025-05-31 4:30:00,1,1
0,23,1786.276325,2025-05-31 4:30:00,1,1
0,24,1792.007178,2025-05-31 4:30:00,1,1
1,0,1777.380156,2025-05-31 4:30:00,1,1
1,1,1808.757325,2025-05-31 4:30:00,1,1
1,2,1502.495709,2025-05-31 4:30:00,1,1
1,3,1490.41789,2025-05-31 4:30:00,1,1
1,4,1705.243372,2025-05-31 4:30:00,1,1
1,5,1755.9208,2025-05-31 4:30:00,1,1
1,6,1844.403373,2025-05-31 4:30:00,1,1
1,7,1821.400938,2025-05-31 4:30:00,1,1
1,8,1557.035672,2025-05-31 4:30:00,1,1
1,9,1451.07066,2025-05-31 4:30:00,1,1
1,10,1679.435658,2025-05-31 4:30:00,1,1
1,11,1741.110482,2025-05-31 4:30:00,1,1
1,12,1767.579498,2025-05-31 4:30:00,1,1
1,13,1796.540906,2025-05-31 4:30:00,1,1
1,14,1657.008979,2025-05-31 4:30:00,1,1
1,15,1505.741728,2025-05-31 4:30:00,1,1
1,16,1573.354625,2025-05-31 4:30:00,1,1
1,17,1751.97318,2025-05-31 4:30:00,1,1
1,18,1807.281196,2025-05-31 4:30:00,1,1
1,19,1787.195553,2025-05-31 4:30:00,1,1
1,20,1731.020188,2025-05-31 4:30:00,1,1
1,21,1492.122117,2025-05-31 4:30:00,1,1
1,22,1526.815151,2025-05-31 4:30:00,1,1
1,23,1807.486188,2025-05-31 4:30:00,1,1
1,24,1768.747612,2025-05-31 4:30:00,1,1
2,0,1774.840618,2025-05-31 4:30:00,1,1
2,1,1825.078368,2025-05-31 4:30:00,1,1
2,2,1479.641341,2025-05-31 4:30:00,1,1
2,3,1476.904132,2025-05-31 4:30:00,1,1
2,4,1720.513156,2025-05-31 4:30:00,1,1
2,5,1793.353347,2025-05-31 4:30:00,1,1
2,6,1848.712211,2025-05-31 4:30:00,1,1
2,7,1829.389998,2025-05-31 4:30:00,1,1
2,8,1536.111947,2025-05-31 4:30:00,1,1
2,9,1434.822803,2025-05-31 4:30:00,1,1
2,10,1667.221677,2025-05-31 4:30:00,1,1
2,11,1785.226781,2025-05-31 4:30:00,1,1
2,12,1765.672827,2025-05-31 4:30:00,1,1
2,13,1788.171045,2025-05-31 4:30:00,1,1
2,14,1600.74562,2025-05-31 4:30:00,1,1
2,15,1430.189887,2025-05-31 4:30:00,1,1
2,16,1567.862237,2025-05-31 4:30:00,1,1
2,17,1808.390624,2025-05-31 4:30:00,1,1
2,18,1799.777151,2025-05-31 4:30:00,1,1
2,19,1837.946071,2025-05-31 4:30:00,1,1
2,20,1724.87086,2025-05-31 4:30:00,1,1
2,21,1547.66612,2025-05-31 4:30:00,1,1
2,22,1457.905437,2025-05-31 4:30:00,1,1
2,23,1787.080626,2025-05-31 4:30:00,1,1
2,24,1806.510398,2025-05-31 4:30:00,1,1
3,0,1822.612024,2025-05-31 4:30:00,1,1
3,1,1821.994368,2025-05-31 4:30:00,1,1
3,2,1455.941125,2025-05-31 4:30:00,1,1
3,3,1508.079897,2025-05-31 4:30:00,1,1
3,4,1746.616795,2025-05-31 4:30:00,1,1
3,5,1818.696414,2025-05-31 4:30:00,1,1
3,6,1812.581541,2025-05-31 4:30:00,1,1
3,7,1830.271393,2025-05-31 4:30:00,1,1
3,8,1520.521725,2025-05-31 4:30:00,1,1
3,9,1492.489362,2025-05-31 4:30:00,1,1
3,10,1639.074876,2025-05-31 4:30:00,1,1
3,11,1757.052086,2025-05-31 4:30:00,1,1
3,12,1810.352205,2025-05-31 4:30:00,1,1
3,13,1865.234704,2025-05-31 4:30:00,1,1
3,14,1636.464086,2025-05-31 4:30:00,1,1
3,15,1466.084299,2025-05-31 4:30:00,1,1
3,16,1591.979641,2025-05-31 4:30:00,1,1
3,17,1772.276014,2025-05-31 4:30:00,1,1
3,18,1827.938941,2025-05-31 4:30:00,1,1
