ID_CIRCUITO,MODELO,CATEGORIA,PRIORIDADE,STATUS,NUM_CARRO,NUM_TREM,DATAHORA,picoTensao_kV,correnteSurto_kA
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 19:35:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 19:46:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 19:59:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 20:14:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 20:31:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 20:50:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 20:35:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 20:52:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 21:11:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 21:32:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 21:55:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 22:20:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 21:35:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 21:58:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 22:23:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 22:50:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 23:19:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 23:50:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 22:35:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 23:04:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-01 23:35:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-02 00:08:50,0.0,0.0
CC1,Modelo-A,Elétrica,1,OK,C1,T1,2025-11-02 00:43:50,0.0,0.0
